CompanyName,ISIN,NSECode,BSECode,Date,MFList,BTTDate,CompanyCode
Indian Hotels Company Ltd.,INE053A01029,INDHOTEL,500850,2020-02-03,False,2020-02-03,16560007.000000
Indian Oil Corporation Ltd.,INE242A01010,IOC,530965,2020-02-03,False,2020-02-03,12140022.000000
Indian Overseas Bank,INE565A01014,IOB,532388,2020-02-03,False,2020-02-03,14030015.000000
Indian Railway Catering & Tourism Corporation Ltd.,INE335Y01020,IRCTC,542830,2020-02-03,False,2020-02-03,17090010.000000
Indraprastha Gas Ltd.,INE203G01027,IGL,532514,2020-02-03,False,2020-02-03,12300008.000000
Indus Towers Ltd.,INE121J01017,INDUSTOWER,534816,2020-02-03,False,2020-02-03,15200071.000000
IndusInd Bank Ltd.,INE095A01012,INDUSINDBK,532187,2020-02-03,False,2020-02-03,14030054.000000
Infibeam Avenues Ltd.,INE483S01020,INFIBEAM,539807,2020-02-03,False,2020-02-03,17170004.000000
Info Edge (India) Ltd.,INE663F01024,NAUKRI,532777,2020-02-03,False,2020-02-03,16690077.000000
Infosys Ltd.,INE009A01021,INFY,500209,2020-02-03,False,2020-02-03,13020007.000000
Ingersoll-Rand (India) Ltd.,INE177A01018,INGERRAND,500210,2020-02-03,False,2020-02-03,13610008.000000
Intellect Design Arena Ltd.,INE306R01017,INTELLECT,538835,2020-02-03,False,2020-02-03,13192325.000000
InterGlobe Aviation Ltd.,INE646L01027,INDIGO,539448,2020-02-03,False,2020-02-03,16690529.000000
Ipca Laboratories Ltd.,INE571A01038,IPCALAB,524494,2020-02-03,False,2020-02-03,12540124.000000
J B Chemicals & Pharmaceuticals Ltd.,INE572A01036,JBCHEPHARM,506943,2020-02-03,False,2020-02-03,12540030.000000
JK Cement Ltd.,INE823G01014,JKCEMENT,532644,2020-02-03,False,2020-02-03,11520077.000000
JBM Auto Ltd.,INE927D01044,JBMA,532605,2020-02-03,False,2020-02-03,10670055.000000
JK Lakshmi Cement Ltd.,INE786A01032,JKLAKSHMI,500380,2020-02-03,False,2020-02-03,16530019.000000
JK Paper Ltd.,INE789E01012,JKPAPER,532162,2020-02-03,False,2020-02-03,16530044.000000
JM Financial Ltd.,INE780C01023,JMFINANCIL,523405,2020-02-03,False,2020-02-03,14090003.000000
JSW Energy Ltd.,INE121E01018,JSWENERGY,533148,2020-02-03,False,2020-02-03,15130147.000000
JSW Steel Ltd.,INE019A01038,JSWSTEEL,500228,2020-02-03,False,2020-02-03,15530059.000000
Jamna Auto Industries Ltd.,INE039C01032,JAMNAAUTO,520051,2020-02-03,False,2020-02-03,10650003.000000
Jindal Saw Ltd.,INE324A01024,JINDALSAW,500378,2020-02-03,False,2020-02-03,15580014.000000
Jindal Stainless Ltd.,INE220G01021,JSL,532508,2020-02-03,False,2020-02-03,15990019.000000
Jindal Steel & Power Ltd.,INE749A01030,JINDALSTEL,532286,2020-02-03,False,2020-02-03,15540044.000000
Jubilant Foodworks Ltd.,INE797F01020,JUBLFOOD,533155,2020-02-03,False,2020-02-03,11290023.000000
