Company,ISIN,NSECode,BSECode,Date,MFList
Marico Ltd.,INE196A01026,MARICO,531642.000000,2024-02-01,False
Maruti Suzuki India Ltd.,INE585B01010,MARUTI,532500.000000,2024-02-01,False
Mastek Ltd.,INE759A01021,MASTEK,523704.000000,2024-02-01,False
Max Financial Services Ltd.,INE180A01020,MFSL,500271.000000,2024-02-01,False
Max Healthcare Institute Ltd.,INE027H01010,MAXHEALTH,543220.000000,2024-02-01,False
Mazagoan Dock Shipbuilders Ltd.,INE249Z01012,MAZDOCK,543237.000000,2024-02-01,False
Medplus Health Services Ltd.,INE804L01022,MEDPLUS,543427.000000,2024-02-01,False
Metro Brands Ltd.,INE317I01021,METROBRAND,543426.000000,2024-02-01,False
Metropolis Healthcare Ltd.,INE112L01020,METROPOLIS,542650.000000,2024-02-01,False
Minda Corporation Ltd.,INE842C01021,MINDACORP,538962.000000,2024-02-01,False
Motherson Sumi Wiring India Ltd.,INE0FS801015,MSUMI,543498.000000,2024-02-01,False
Motilal Oswal Financial Services Ltd.,INE338I01027,MOTILALOFS,532892.000000,2024-02-01,False
MphasiS Ltd.,INE356A01018,MPHASIS,526299.000000,2024-02-01,False
