CompanyName,ISIN,NSECode,BSECode,Date,MFList,CompanyCode,BTTDate
Go Fashion (India) Ltd.,INE0BJS01011,GOCOLORS,543401.000000,2024-02-01,True,16070353.000000,2024-02-01
Godawari Power & Ispat Ltd.,INE177H01021,GPIL,532734.000000,2024-02-01,True,17010086.000000,2024-02-01
Godfrey Phillips India Ltd.,INE260B01028,GODFRYPHLP,500163.000000,2024-02-01,True,12630002.000000,2024-02-01
Godrej Consumer Products Ltd.,INE102D01028,GODREJCP,532424.000000,2024-02-01,True,12520118.000000,2024-02-01
Godrej Industries Ltd.,INE233A01035,GODREJIND,500164.000000,2024-02-01,True,12520018.000000,2024-02-01
Godrej Properties Ltd.,INE484J01027,GODREJPROP,533150.000000,2024-02-01,True,12520018.050000,2024-02-01
Granules India Ltd.,INE101D01020,GRANULES,532482.000000,2024-02-01,True,12540301.000000,2024-02-01
Graphite India Ltd.,INE371A01025,GRAPHITE,509488.000000,2024-02-01,True,13580002.000000,2024-02-01
Grasim Industries Ltd.,INE047A01021,GRASIM,500300.000000,2024-02-01,True,17010006.000000,2024-02-01
Great Eastern Shipping Company Ltd.,INE017A01032,GESHIP,500620.000000,2024-02-01,True,16580004.000000,2024-02-01
Grindwell Norton Ltd.,INE536A01023,GRINDWELL,506076.000000,2024-02-01,True,14550003.000000,2024-02-01
Gujarat Alkalies & Chemicals Ltd.,INE186A01019,GUJALKALI,530001.000000,2024-02-01,True,12090004.000000,2024-02-01
Gujarat Ambuja Exports Ltd.,INE036B01030,GAEL,524226.000000,2024-02-01,True,11070045.000000,2024-02-01
Gujarat Fluorochemicals Ltd.,INE09N301011,FLUOROCHEM,542812.000000,2024-02-01,True,12060127.000000,2024-02-01
Gujarat Gas Ltd.,INE844O01030,GUJGASLTD,539336.000000,2024-02-01,True,17152816.000000,2024-02-01
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,INE113A01013,GNFC,500670.000000,2024-02-01,True,12100005.000000,2024-02-01
Gujarat Pipavav Port Ltd.,INE517F01014,GPPL,533248.000000,2024-02-01,True,16680010.000000,2024-02-01
Gujarat State Fertilizer & Chemicals Ltd.,INE026A01025,GSFC,500690.000000,2024-02-01,True,12100006.000000,2024-02-01
Gujarat State Petronet Ltd.,INE246F01010,GSPL,532702.000000,2024-02-01,True,12140048.000000,2024-02-01
HEG Ltd.,INE545A01016,HEG,509631.000000,2024-02-01,True,13580005.000000,2024-02-01
HCL Technologies Ltd.,INE860A01027,HCLTECH,532281.000000,2024-02-01,True,13020101.000000,2024-02-01
HDFC Asset Management Company Ltd.,INE127D01025,HDFCAMC,541729.000000,2024-02-01,True,14050596.000000,2024-02-01
HDFC Bank Ltd.,INE040A01034,HDFCBANK,500180.000000,2024-02-01,True,14030055.000000,2024-02-01
HDFC Life Insurance Company Ltd.,INE795G01014,HDFCLIFE,540777.000000,2024-02-01,True,14020008.000000,2024-02-01
HFCL Ltd.,INE548A01028,HFCL,500183.000000,2024-02-01,True,15140003.000000,2024-02-01
HLE Glascoat Ltd.,INE461D01028,HLEGLAS,522215.000000,2024-02-01,True,14580019.000000,2024-02-01
Happiest Minds Technologies Ltd.,INE419U01012,HAPPSTMNDS,543227.000000,2024-02-01,True,13240188.000000,2024-02-01
